,Movies,Year,Runtime,Imdb rating,Metascores,Votes,Gross (in millions)
400,Flipped,2010,90,7.7,45,79566,1.75
401,Blood Diamond,2006,143,8.0,64,488782,57.37
402,Das Boot,1981,149,8.3,86,225807,11.49
403,Rosemary's Baby,1968,137,8.0,96,186923,
404,Before Midnight,2013,109,7.9,94,135978,8.11
405,The Fighter,2010,116,7.8,79,333443,93.62
406,Grave of the Fireflies,1988,89,8.5,94,224275,
407,In Bruges,2008,107,7.9,67,382839,7.76
408,The Theory of Everything,2014,123,7.7,72,389340,35.89
409,American Gangster,2007,157,7.8,76,383063,130.16
410,Do the Right Thing,1989,120,7.9,93,85705,27.55
411,My Neighbor Totoro,1988,86,8.2,86,276898,1.11
412,The Magnificent Seven,1960,128,7.7,74,85784,4.91
413,Adaptation.,2002,115,7.7,83,173703,22.25
414,Captain Phillips,2013,134,7.8,82,411118,107.1
415,Memories of Murder,2003,132,8.1,82,127152,0.01
416,Sense and Sensibility,1995,136,7.6,84,99209,43.18
417,The Secret in Their Eyes,2009,129,8.2,80,187295,6.39
418,The Thin Red Line,1998,170,7.6,78,168936,36.4
419,Toy Story 3,2010,103,8.3,92,738071,415.0
420,Roma,2018,135,7.7,96,133930,
421,The Pursuit of Happyness,2006,117,8.0,64,436265,163.57
422,Gran Torino,2008,116,8.1,72,705681,148.1
423,District 9,2009,112,7.9,81,629431,115.65
424,Brazil,1985,132,7.9,84,184065,9.93
425,Coraline,2009,100,7.7,80,190389,75.29
426,The Skin I Live In,2011,120,7.6,70,134677,3.19
427,End of Watch,2012,109,7.6,68,224026,41.0
428,Cinema Paradiso,1988,155,8.5,80,222162,11.99
429,A Bronx Tale,1993,121,7.8,80,124720,17.27
430,Breakfast at Tiffany's,1961,115,7.7,76,162697,
431,Gilda,1946,110,7.7,0,27099,
432,Hunt for the Wilderpeople,2016,101,7.9,81,104010,5.2
433,The Count of Monte Cristo,2002,131,7.8,61,126610,54.23
434,Traffic,2000,147,7.6,86,192868,124.12
435,Apollo 13,1995,140,7.6,77,261734,173.84
436,The Hunt for Red October,1990,135,7.6,58,174586,122.01
437,The Insider,1999,157,7.8,84,156774,28.97
438,Falling Down,1993,113,7.6,56,166112,40.9
439,Gifted,2017,101,7.6,60,95419,24.8
440,Lost Highway,1997,134,7.6,52,127333,3.8
441,Raging Bull,1980,129,8.2,89,312897,23.38
442,Planet of the Apes,1968,112,8.0,79,162597,33.4
443,Rebecca,1940,130,8.1,86,118968,4.36
444,The Crow,1994,102,7.6,71,163335,50.69
445,Some Like It Hot,1959,121,8.2,98,237431,25.0
446,Philadelphia,1993,125,7.7,66,219252,77.32
447,Barry Lyndon,1975,185,8.1,89,144796,
